event_id,from_grade,to_grade,bw_target,aggressiveness,steam_ramp_rate,filler_step_size,speed_delta,moisture_lag_steps,max_deviation_pct,went_offspec,stabilization_time
50,Grade-D (Specialty),Grade-C (Heavy),80.0,0.256,0.386,4.64,1.414,6,0.784,False,32
51,Grade-A (Light),Grade-D (Specialty),95.0,0.463,0.562,5.186,2.964,7,2.166,False,32
52,Grade-D (Specialty),Grade-A (Light),45.0,0.384,0.374,5.887,2.297,6,1.628,False,32
53,Grade-C (Heavy),Grade-D (Specialty),95.0,0.612,0.708,7.162,4.637,7,3.558,True,39
54,Grade-D (Specialty),Grade-A (Light),45.0,0.312,0.2,4.681,1.371,4,1.365,False,32
55,Grade-C (Heavy),Grade-D (Specialty),95.0,0.46,0.479,4.017,3.65,7,1.341,False,32
56,Grade-A (Light),Grade-C (Heavy),80.0,0.376,0.398,3.577,2.098,6,1.607,False,32
57,Grade-C (Heavy),Grade-D (Specialty),95.0,0.083,0.15,2.0,1.0,3,0.746,False,32
58,Grade-B (Standard),Grade-C (Heavy),80.0,0.42,0.303,5.644,1.694,5,1.122,False,32
59,Grade-C (Heavy),Grade-B (Standard),60.0,0.729,0.487,4.806,5.187,9,2.332,False,32
60,Grade-D (Specialty),Grade-B (Standard),60.0,0.113,0.15,2.864,1.751,5,0.831,False,32
61,Grade-D (Specialty),Grade-A (Light),45.0,0.224,0.305,4.563,3.151,4,1.074,False,32
62,Grade-C (Heavy),Grade-B (Standard),60.0,0.74,0.621,6.725,5.138,8,3.979,True,40
63,Grade-C (Heavy),Grade-A (Light),45.0,0.412,0.33,5.038,2.179,7,0.954,False,32
64,Grade-C (Heavy),Grade-A (Light),45.0,0.613,0.496,4.875,3.69,7,1.473,False,32
65,Grade-B (Standard),Grade-D (Specialty),95.0,0.616,0.619,6.901,4.312,7,3.2,True,36
66,Grade-A (Light),Grade-D (Specialty),95.0,0.205,0.307,2.0,1.004,3,1.252,False,32
67,Grade-C (Heavy),Grade-A (Light),45.0,0.478,0.321,6.094,2.414,4,1.143,False,32
68,Grade-B (Standard),Grade-C (Heavy),80.0,0.134,0.253,2.0,1.0,3,0.816,False,32
69,Grade-C (Heavy),Grade-D (Specialty),95.0,0.513,0.554,6.597,2.936,6,1.963,False,32
70,Grade-D (Specialty),Grade-A (Light),45.0,0.605,0.638,5.218,4.704,8,2.991,True,57
71,Grade-A (Light),Grade-B (Standard),60.0,0.634,0.722,6.61,3.044,6,4.276,True,39
72,Grade-C (Heavy),Grade-A (Light),45.0,0.503,0.422,4.231,3.343,8,1.175,False,32
73,Grade-A (Light),Grade-C (Heavy),80.0,0.358,0.219,2.961,3.347,6,1.088,False,32
74,Grade-D (Specialty),Grade-B (Standard),60.0,0.643,0.451,5.113,4.321,7,1.56,False,32
75,Grade-A (Light),Grade-D (Specialty),95.0,0.089,0.238,2.694,1.415,4,0.981,False,32
76,Grade-C (Heavy),Grade-D (Specialty),95.0,0.323,0.499,2.711,2.063,6,0.974,False,32
77,Grade-C (Heavy),Grade-D (Specialty),95.0,0.28,0.333,3.352,1.285,4,0.607,False,32
78,Grade-A (Light),Grade-C (Heavy),80.0,0.448,0.528,6.175,3.235,7,2.971,True,34
79,Grade-B (Standard),Grade-C (Heavy),80.0,0.069,0.368,2.0,1.0,3,0.739,False,32
80,Grade-A (Light),Grade-B (Standard),60.0,0.764,0.834,5.534,3.873,6,5.049,True,41
81,Grade-C (Heavy),Grade-B (Standard),60.0,0.174,0.357,2.641,2.078,3,0.872,False,32
82,Grade-D (Specialty),Grade-C (Heavy),80.0,0.629,0.415,5.125,4.856,6,1.471,False,32
83,Grade-A (Light),Grade-D (Specialty),95.0,0.284,0.23,4.045,2.615,4,1.315,False,32
84,Grade-B (Standard),Grade-A (Light),45.0,0.116,0.15,2.0,2.061,5,1.245,False,32
85,Grade-A (Light),Grade-D (Specialty),95.0,0.505,0.645,3.623,2.177,7,1.724,False,32
86,Grade-C (Heavy),Grade-D (Specialty),95.0,0.124,0.242,3.111,2.412,5,0.587,False,32
87,Grade-A (Light),Grade-B (Standard),60.0,0.431,0.613,5.778,3.267,8,3.337,True,37
88,Grade-D (Specialty),Grade-A (Light),45.0,0.175,0.15,2.0,1.0,4,2.281,False,32
89,Grade-B (Standard),Grade-D (Specialty),95.0,0.09,0.19,2.958,1.0,3,0.833,False,32
90,Grade-A (Light),Grade-D (Specialty),95.0,0.334,0.47,4.912,1.866,5,1.684,False,32
91,Grade-B (Standard),Grade-C (Heavy),80.0,0.146,0.31,2.283,2.347,3,0.733,False,32
92,Grade-A (Light),Grade-B (Standard),60.0,0.391,0.307,5.222,3.94,6,1.775,False,32
93,Grade-B (Standard),Grade-A (Light),45.0,0.448,0.486,5.333,2.743,7,1.98,False,32
94,Grade-D (Specialty),Grade-B (Standard),60.0,0.665,0.767,4.84,4.432,9,2.869,True,38
95,Grade-C (Heavy),Grade-A (Light),45.0,0.55,0.508,4.328,3.827,8,1.449,False,32
96,Grade-C (Heavy),Grade-B (Standard),60.0,0.783,0.813,7.458,4.897,8,6.372,True,61
97,Grade-B (Standard),Grade-D (Specialty),95.0,0.365,0.313,3.437,1.81,7,1.039,False,32
98,Grade-B (Standard),Grade-A (Light),45.0,0.318,0.207,2.505,2.435,4,0.939,False,32
99,Grade-A (Light),Grade-C (Heavy),80.0,0.461,0.504,4.744,3.201,6,2.02,False,32
100,Grade-C (Heavy),Grade-B (Standard),60.0,0.864,0.857,7.956,5.037,10,6.982,True,62
101,Grade-D (Specialty),Grade-B (Standard),60.0,0.356,0.563,4.661,1.52,7,0.884,False,32
102,Grade-B (Standard),Grade-D (Specialty),95.0,0.374,0.558,3.875,2.63,6,1.882,False,32
103,Grade-B (Standard),Grade-A (Light),45.0,0.359,0.455,4.948,1.815,7,1.39,False,32
104,Grade-B (Standard),Grade-C (Heavy),80.0,0.604,0.571,6.026,4.595,6,3.07,True,35
105,Grade-D (Specialty),Grade-A (Light),45.0,0.427,0.446,5.548,3.315,7,1.918,False,32
106,Grade-D (Specialty),Grade-A (Light),45.0,0.649,0.691,7.285,2.937,6,3.654,True,57
107,Grade-B (Standard),Grade-D (Specialty),95.0,0.718,0.545,6.848,4.766,8,3.37,True,36
108,Grade-B (Standard),Grade-D (Specialty),95.0,0.122,0.15,2.3,2.227,5,0.956,False,32
109,Grade-A (Light),Grade-D (Specialty),95.0,0.197,0.406,3.551,2.049,4,1.36,False,32
110,Grade-D (Specialty),Grade-C (Heavy),80.0,0.395,0.439,2.973,3.761,6,0.646,False,32
111,Grade-D (Specialty),Grade-A (Light),45.0,0.483,0.357,3.737,2.533,5,1.153,False,32
112,Grade-C (Heavy),Grade-A (Light),45.0,0.639,0.738,6.71,2.862,9,4.638,True,56
113,Grade-B (Standard),Grade-A (Light),45.0,0.338,0.345,5.287,3.352,6,1.621,False,32
114,Grade-D (Specialty),Grade-B (Standard),60.0,0.354,0.294,3.547,2.241,7,0.767,False,32
115,Grade-C (Heavy),Grade-B (Standard),60.0,0.318,0.217,4.286,2.582,6,0.545,False,32
116,Grade-D (Specialty),Grade-C (Heavy),80.0,0.139,0.404,4.227,1.461,4,0.567,False,32
117,Grade-D (Specialty),Grade-C (Heavy),80.0,0.217,0.314,3.376,1.856,4,0.448,False,32
118,Grade-C (Heavy),Grade-B (Standard),60.0,0.372,0.274,3.192,2.247,7,0.66,False,32
119,Grade-A (Light),Grade-D (Specialty),95.0,0.622,0.545,6.305,2.862,8,2.491,False,32
120,Grade-D (Specialty),Grade-C (Heavy),80.0,0.6,0.519,4.584,3.745,8,1.379,False,32
121,Grade-B (Standard),Grade-A (Light),45.0,0.595,0.38,5.158,3.011,7,1.388,False,32
122,Grade-D (Specialty),Grade-C (Heavy),80.0,0.55,0.378,6.531,4.575,6,1.773,False,32
123,Grade-C (Heavy),Grade-B (Standard),60.0,0.778,0.759,5.388,3.334,8,3.036,True,38
124,Grade-D (Specialty),Grade-C (Heavy),80.0,0.591,0.675,5.074,2.615,8,1.685,False,32
125,Grade-B (Standard),Grade-D (Specialty),95.0,0.457,0.308,3.655,3.786,6,1.196,False,32
126,Grade-D (Specialty),Grade-C (Heavy),80.0,0.135,0.15,3.831,1.91,4,0.47,False,32
127,Grade-C (Heavy),Grade-B (Standard),60.0,0.35,0.215,3.635,2.151,4,0.617,False,32
128,Grade-A (Light),Grade-D (Specialty),95.0,0.383,0.283,4.698,2.436,7,1.41,False,32
129,Grade-D (Specialty),Grade-A (Light),45.0,0.11,0.15,2.0,1.668,3,1.719,False,32
130,Grade-D (Specialty),Grade-B (Standard),60.0,0.924,0.941,7.339,4.537,9,6.293,True,63
131,Grade-C (Heavy),Grade-B (Standard),60.0,0.045,0.15,2.208,1.344,3,0.641,False,32
132,Grade-D (Specialty),Grade-B (Standard),60.0,0.447,0.483,4.025,2.326,7,0.755,False,32
133,Grade-B (Standard),Grade-C (Heavy),80.0,0.772,0.652,6.015,4.435,6,3.203,True,38
134,Grade-A (Light),Grade-B (Standard),60.0,0.379,0.333,4.806,1.717,5,1.162,False,32
135,Grade-C (Heavy),Grade-B (Standard),60.0,0.34,0.499,2.511,3.567,6,0.817,False,32
136,Grade-D (Specialty),Grade-A (Light),45.0,0.803,0.803,5.486,3.935,9,4.267,True,57
137,Grade-D (Specialty),Grade-B (Standard),60.0,0.523,0.602,5.017,4.242,5,2.234,False,32
138,Grade-D (Specialty),Grade-C (Heavy),80.0,0.033,0.325,2.831,1.0,3,0.488,False,32
139,Grade-B (Standard),Grade-C (Heavy),80.0,0.135,0.29,4.132,1.071,5,1.013,False,32
